index,barcode,row,col,imagerow,imagecol,is_center
183,2x41,2,41,68,2195,0
184,30x36,30,36,1598,1923,0
185,39x19,39,19,2089,995,0
186,25x8,25,8,1325,395,0
187,14x47,14,47,724,2523,1
188,47x39,47,39,2526,2086,0
189,41x10,41,10,2199,505,0
190,38x8,38,8,2035,395,0
191,40x22,40,22,2144,1159,0
192,33x32,33,32,1762,1705,0
193,22x39,22,39,1161,2086,1
194,37x20,37,20,1980,1050,0
195,38x7,38,7,2035,341,1
196,31x46,31,46,1652,2468,0
197,39x38,39,38,2089,2032,0
198,4x37,4,37,178,1977,1
199,44x35,44,35,2363,1868,0
200,29x10,29,10,1543,505,0
201,6x33,6,33,287,1759,0
202,17x17,17,17,888,886,0
203,16x49,16,49,833,2632,0
204,25x18,25,18,1325,941,0
205,13x31,13,31,669,1650,0
206,38x18,38,18,2035,941,0
207,37x27,37,27,1980,1432,0
208,39x4,39,4,2089,177,0
209,13x41,13,41,669,2195,0
210,25x45,25,45,1325,2414,0
211,14x30,14,30,724,1595,0
212,26x48,26,48,1379,2577,0
213,22x16,22,16,1161,832,0
214,15x37,15,37,778,1977,0
215,14x26,14,26,724,1377,0
216,18x37,18,37,942,1977,1
217,25x26,25,26,1325,1377,0
218,31x31,31,31,1652,1650,0
219,9x27,9,27,451,1432,0
220,39x18,39,18,2089,941,0
221,30x28,30,28,1598,1486,0
222,3x26,3,26,123,1377,0
223,38x12,38,12,2035,614,0
224,36x41,36,41,1926,2195,1
225,11x47,11,47,560,2523,0
226,6x41,6,41,287,2195,1
227,33x12,33,12,1762,614,0
228,25x27,25,27,1325,1432,0
229,49x3,49,3,2636,123,0
230,44x40,44,40,2363,2141,0
231,41x38,41,38,2199,2032,0
232,20x40,20,40,1052,2141,0
233,14x43,14,43,724,2305,1
234,37x35,37,35,1980,1868,0
235,37x8,37,8,1980,395,0
236,26x40,26,40,1379,2141,0
237,9x36,9,36,451,1923,0
238,12x27,12,27,615,1432,1
239,30x16,30,16,1598,832,0
240,25x41,25,41,1325,2195,0
241,26x7,26,7,1379,341,1
242,20x25,20,25,1052,1323,1
243,2x31,2,31,68,1650,1
244,34x36,34,36,1816,1923,0
245,11x48,11,48,560,2577,0
246,27x14,27,14,1434,723,0
247,11x46,11,46,560,2468,0
248,8x25,8,25,396,1323,0
249,33x17,33,17,1762,886,0
250,20x26,20,26,1052,1377,0
251,41x9,41,9,2199,450,0
252,33x4,33,4,1762,177,0
253,14x44,14,44,724,2359,0
254,16x41,16,41,833,2195,1
255,32x47,32,47,1707,2523,1
256,27x32,27,32,1434,1705,0
257,22x36,22,36,1161,1923,0
258,7x21,7,21,341,1105,0
259,5x35,5,35,232,1868,0
260,6x25,6,25,287,1323,1
261,16x45,16,45,833,2414,0
262,41x4,41,4,2199,177,0
263,36x13,36,13,1926,668,1
264,17x14,17,14,888,723,0
265,17x48,17,48,888,2577,0
266,11x16,11,16,560,832,0
267,6x26,6,26,287,1377,0
268,39x13,39,13,2089,668,0
269,16x13,16,13,833,668,1
270,32x22,32,22,1707,1159,0
271,21x42,21,42,1106,2250,0
272,14x18,14,18,724,941,0
273,2x23,2,23,68,1214,1
274,40x35,40,35,2144,1868,1
275,34x12,34,12,1816,614,0
276,48x6,48,6,2581,286,0
277,39x8,39,8,2089,395,0
278,49x4,49,4,2636,177,0
279,32x24,32,24,1707,1268,0
280,39x37,39,37,2089,1977,0
281,46x39,46,39,2472,2086,1
282,26x35,26,35,1379,1868,1
283,43x31,43,31,2308,1650,0
284,32x6,32,6,1707,286,0
285,9x37,9,37,451,1977,0
286,3x37,3,37,123,1977,0
287,15x47,15,47,778,2523,0
288,35x22,35,22,1871,1159,0
289,19x40,19,40,997,2141,0
290,35x29,35,29,1871,1541,0
291,7x25,7,25,341,1323,0
292,29x35,29,35,1543,1868,0
293,22x45,22,45,1161,2414,1
294,41x15,41,15,2199,777,0
295,35x5,35,5,1871,232,0
296,33x7,33,7,1762,341,0
297,15x34,15,34,778,1814,0
298,24x33,24,33,1270,1759,1
299,38x11,38,11,2035,559,1
300,11x32,11,32,560,1705,0
301,11x49,11,49,560,2632,0
302,3x23,3,23,123,1214,0
303,19x26,19,26,997,1377,0
304,22x41,22,41,1161,2195,1
305,5x43,5,43,232,2305,0
306,12x40,12,40,615,2141,0
307,32x11,32,11,1707,559,1
308,18x11,18,11,942,559,1
309,43x26,43,26,2308,1377,0
310,37x13,37,13,1980,668,0
311,25x9,25,9,1325,450,0
312,7x19,7,19,341,995,0
313,36x27,36,27,1926,1432,1
314,5x22,5,22,232,1159,0
315,4x28,4,28,178,1486,0
316,38x13,38,13,2035,668,1
317,24x30,24,30,1270,1595,0
318,25x19,25,19,1325,995,0
319,15x42,15,42,778,2250,0
320,18x34,18,34,942,1814,0
321,45x19,45,19,2417,995,0
322,12x48,12,48,615,2577,0
323,44x4,44,4,2363,177,0
324,42x9,42,9,2253,450,0
325,7x39,7,39,341,2086,0
326,34x32,34,32,1816,1705,0
327,33x27,33,27,1762,1432,0
328,38x31,38,31,2035,1650,1
329,44x43,44,43,2363,2305,1
330,8x40,8,40,396,2141,0
331,48x10,48,10,2581,505,0
332,8x16,8,16,396,832,0
333,26x15,26,15,1379,777,1
334,31x34,31,34,1652,1814,0
335,39x11,39,11,2089,559,0
336,6x42,6,42,287,2250,0
337,47x34,47,34,2526,1814,0
338,18x39,18,39,942,2086,1
339,27x29,27,29,1434,1541,0
340,4x23,4,23,178,1214,1
341,31x32,31,32,1652,1705,0
342,4x31,4,31,178,1650,1
343,22x28,22,28,1161,1486,0
344,20x48,20,48,1052,2577,0
345,12x14,12,14,615,723,0
346,45x15,45,15,2417,777,0
347,27x40,27,40,1434,2141,0
348,26x34,26,34,1379,1814,0
349,26x17,26,17,1379,886,1
350,11x35,11,35,560,1868,0
351,35x35,35,35,1871,1868,0
352,39x24,39,24,2089,1268,0
353,10x18,10,18,505,941,0
354,23x33,23,33,1215,1759,0
355,23x36,23,36,1215,1923,0
356,37x41,37,41,1980,2195,0
357,40x7,40,7,2144,341,1
358,22x26,22,26,1161,1377,0
359,42x28,42,28,2253,1486,0
360,3x30,3,30,123,1595,0
361,28x7,28,7,1489,341,1
362,48x4,48,4,2581,177,0
363,4x21,4,21,178,1105,1
364,13x44,13,44,669,2359,0
365,33x18,33,18,1762,941,0
366,43x20,43,20,2308,1050,0
367,14x31,14,31,724,1650,1
368,23x31,23,31,1215,1650,0
369,19x47,19,47,997,2523,0
370,39x5,39,5,2089,232,0
371,27x7,27,7,1434,341,0
372,6x23,6,23,287,1214,0
373,42x23,42,23,2253,1214,1
374,41x18,41,18,2199,941,0
375,41x27,41,27,2199,1432,0
376,32x10,32,10,1707,505,0
377,34x19,34,19,1816,995,0
378,25x7,25,7,1325,341,0
379,24x44,24,44,1270,2359,0
380,23x14,23,14,1215,723,0
381,42x20,42,20,2253,1050,0
382,35x30,35,30,1871,1595,0
383,41x8,41,8,2199,395,0
