"","TMEM132D","CPNE5","RNA18S5","NMNAT1","ALG5","RNA28S5","RPL13","CCBL1","RPS9","MEIS1.AS1"
"39x23",0,0,4,0,0,1,0,0,0,0
"38x5",1,0,11,0,0,0,0,0,0,0
"27x30",0,0,50,16,0,8,0,0,4,0
"37x11",0,0,5,0,0,2,0,0,0,0
"13x27",0,0,5,0,0,1,1,0,0,0
"15x19",0,0,5,0,0,0,0,0,0,0
"11x19",1,0,6,0,0,0,0,0,1,0
"39x20",0,0,16,0,0,6,1,0,0,0
"32x4",3,0,1,1,0,0,0,0,0,0
"46x3",1,0,43,1,0,3,0,0,0,0
"16x15",0,0,6,1,0,0,0,0,1,0
"13x49",0,0,2,0,0,0,0,0,0,0
"31x33",0,1,283,2,0,43,46,0,23,0
"40x26",0,0,1,0,0,0,0,0,0,0
"2x20",0,0,14,0,0,1,1,0,0,0
"27x15",1,0,8,1,0,0,1,0,0,0
"13x26",0,0,2,0,0,1,0,0,0,0
"35x33",0,0,237,1,0,35,3,0,3,0
"31x15",1,0,10,0,0,4,0,0,0,0
"38x27",0,0,4,0,0,0,1,0,0,0
"6x45",0,0,4,0,0,1,0,0,1,0
"47x40",0,0,8,1,0,1,0,0,0,0
"26x28",1,0,263,0,0,18,32,0,9,0
"21x12",0,0,3,0,0,0,0,0,0,0
"13x48",0,0,0,0,0,0,0,0,0,0
"39x40",0,0,6,1,0,3,0,0,0,0
"14x34",0,0,24,0,0,4,0,0,0,0
"36x24",1,0,5,0,0,1,3,0,0,0
"37x12",0,0,8,1,0,1,0,0,0,0
"40x42",1,0,10,0,0,1,0,0,0,0
"44x37",0,0,16,1,0,1,0,0,0,0
"31x35",0,0,160,2,0,20,0,0,3,0
"23x8",4,0,9,2,2,3,1,0,0,0
"47x33",0,0,13,0,0,0,0,0,0,0
"24x7",8,1,4,1,0,0,0,0,0,0
"27x13",0,0,9,0,0,0,2,0,0,0
"6x40",0,0,16,0,0,3,0,0,0,0
"5x40",0,0,10,0,0,0,2,0,0,0
"40x5",3,0,15,0,0,0,0,0,0,0
"23x30",1,0,221,4,2,40,4,0,1,0
"4x29",0,0,6,0,0,0,1,0,0,0
"13x16",1,0,2,0,0,1,0,0,0,0
"26x38",0,0,19,0,0,1,3,0,1,0
"43x28",0,0,10,0,0,0,0,0,0,0
"13x40",0,0,6,1,0,0,0,0,1,0
"18x45",0,0,11,0,0,1,3,0,1,0
"25x36",0,0,232,0,0,40,6,1,2,0
"38x16",0,0,3,0,0,1,0,0,0,0
"4x41",1,1,53,1,0,12,1,0,1,0
"27x12",1,0,10,0,1,3,0,0,0,0
"23x18",0,0,4,0,0,3,2,0,0,0
"38x29",1,0,12,0,0,4,3,0,0,0
"46x33",1,0,9,0,0,2,1,0,0,0
"25x44",0,0,9,0,0,0,1,0,0,0
"24x15",0,0,7,0,0,0,0,0,0,0
"14x13",2,0,3,0,0,0,0,0,0,0
"19x35",0,0,108,2,0,21,2,0,3,0
"34x33",1,2,276,2,0,53,6,0,10,0
"29x17",0,0,1,1,0,1,0,0,0,0
"23x6",1,1,5,0,0,0,2,0,0,0
"19x8",5,0,6,1,1,0,0,0,1,0
"28x20",0,0,37,0,1,9,1,0,0,0
"4x40",0,0,37,1,0,10,6,0,1,0
"34x26",0,0,3,0,0,2,0,0,0,0
"30x15",0,0,5,0,0,3,0,0,1,0
"30x38",0,0,26,0,0,2,1,0,1,0
"31x10",0,0,11,0,0,1,0,0,0,0
"42x32",0,0,8,0,0,0,0,0,1,0
"31x27",0,0,14,0,0,3,0,0,0,0
"18x35",0,0,187,1,0,14,1,0,0,0
"25x10",5,0,11,0,0,1,1,0,0,0
"14x42",1,0,2,0,0,1,1,0,0,0
"22x9",0,1,3,0,0,2,0,0,0,0
"21x24",0,0,7,0,0,1,0,0,0,0
"7x20",1,0,9,0,0,1,0,0,0,0
"14x14",3,0,7,1,0,0,0,0,0,0
"24x34",0,0,111,0,0,23,2,0,0,0
"4x38",0,0,3,0,0,0,1,0,0,0
"21x49",0,0,4,0,0,1,1,0,0,0
"5x34",0,0,12,0,0,2,0,0,0,0
"7x18",2,0,0,0,1,0,0,0,0,0
"26x42",0,1,227,1,0,35,5,0,2,0
"39x21",0,0,2,0,0,3,0,0,0,0
"45x2",1,0,14,1,0,2,0,0,0,5
"21x36",0,0,85,1,0,28,1,0,5,0
"39x22",0,0,4,0,0,0,0,0,1,0
"14x49",0,0,4,0,0,2,1,0,0,0
"36x18",0,0,0,0,0,2,0,0,0,0
"34x13",0,0,6,0,1,2,0,0,0,0
"19x15",0,0,8,0,0,1,1,0,0,0
"6x32",0,0,7,0,0,1,0,0,0,0
"47x4",0,1,19,0,0,0,0,0,0,0
"42x39",0,0,1,0,0,0,0,0,0,0
"29x30",0,0,85,2,0,8,25,0,4,0
"38x25",0,0,10,0,0,0,1,0,1,0
"10x48",0,0,37,0,0,9,0,0,2,0
"22x30",0,0,165,4,0,40,2,0,16,0
"5x27",0,0,6,0,0,0,0,0,0,0
"30x41",0,0,312,1,0,18,16,0,3,0
"17x34",0,1,292,1,0,28,5,0,1,1
"48x5",1,0,15,0,0,0,0,0,0,0
"42x6",0,2,2,0,0,0,0,0,0,0
"25x46",0,0,3,0,0,0,1,0,0,0
"18x40",0,0,22,1,0,5,0,0,0,0
"14x19",0,0,7,0,1,2,0,0,0,0
"36x38",0,0,22,0,0,1,0,0,0,0
"29x19",0,1,10,0,0,1,1,0,0,0
"33x20",0,0,6,0,0,1,0,0,0,0
"22x49",0,0,8,0,0,0,2,0,2,0
"19x49",0,0,8,0,0,2,2,0,1,0
"36x36",1,0,162,0,0,27,1,0,4,0
"23x16",0,0,3,0,0,0,0,0,0,0
"16x48",0,2,25,0,0,5,10,0,1,0
"37x32",0,0,50,1,0,4,1,0,0,0
"43x36",0,0,14,0,0,3,0,0,0,0
"25x17",0,1,8,1,0,1,0,0,0,0
"20x41",0,0,174,0,0,14,0,0,1,0
"25x21",0,0,12,0,0,0,0,1,0,0
"8x37",0,0,4,1,0,2,0,0,0,0
"40x36",1,0,24,0,0,6,9,0,0,0
"23x34",0,0,206,2,0,13,7,0,1,0
"19x32",0,1,172,1,0,5,2,0,2,0
"34x15",0,1,14,1,0,7,0,0,0,0
"20x46",0,0,3,0,0,0,0,0,0,0
"22x31",0,0,467,1,0,47,1,0,0,0
"31x49",0,0,8,0,0,5,0,0,1,0
"36x5",1,1,11,0,0,4,0,0,0,0
"31x41",0,0,437,1,2,25,8,0,9,0
"20x33",0,1,147,3,0,49,3,0,5,0
"33x41",0,1,522,1,0,25,4,0,4,0
"14x35",0,0,12,0,0,1,0,0,0,0
"5x36",0,0,9,0,0,2,0,0,0,0
"8x43",0,0,10,0,0,0,1,0,1,0
"40x11",0,0,3,0,0,1,0,0,0,0
"48x9",0,0,3,0,0,0,0,0,0,0
"33x30",0,1,36,1,0,1,2,0,0,0
"18x32",0,0,144,1,0,23,3,0,3,0
"10x45",0,0,12,0,0,1,0,0,0,0
"27x41",0,2,294,0,0,18,3,0,1,0
"5x33",0,0,12,0,0,7,0,0,1,0
"29x21",0,0,7,0,0,1,2,0,0,0
"28x8",3,0,6,0,1,0,0,0,0,0
"32x9",0,2,3,0,0,0,0,0,0,0
"31x45",0,0,3,0,0,1,0,0,0,0
"46x41",0,0,17,0,0,2,1,0,0,0
"20x8",1,0,2,0,0,0,1,0,0,0
"23x11",0,0,14,0,0,2,0,0,0,0
"2x19",0,0,8,1,0,2,0,0,1,0
"45x45",0,0,0,0,0,0,0,0,0,0
"43x14",0,0,5,0,0,0,0,0,0,0
"31x9",0,1,9,0,0,1,0,0,0,0
"6x36",0,0,8,0,0,2,0,0,0,0
"5x24",0,0,0,0,0,1,0,0,0,0
"3x35",0,0,13,0,0,1,0,0,0,0
"31x12",1,0,4,0,0,1,0,0,0,0
"23x28",1,0,647,2,0,31,4,0,4,0
"6x39",1,0,17,0,0,5,3,0,1,0
"28x27",0,0,27,0,0,6,2,0,1,0
"28x31",0,0,347,1,0,15,8,0,10,0
"16x35",0,0,213,0,0,36,6,0,5,0
"37x24",0,0,4,2,0,3,0,0,0,0
"14x37",0,0,19,0,0,2,0,0,0,0
"48x34",0,0,11,0,0,4,0,0,0,0
"20x36",0,0,135,2,0,24,7,0,3,0
"44x25",0,0,1,0,0,1,0,0,0,0
"33x5",3,2,16,1,1,1,0,0,2,0
"40x38",0,0,51,0,0,6,0,0,0,0
"42x29",0,1,3,0,0,1,0,0,0,0
"38x39",0,0,20,0,0,4,2,0,2,0
"37x26",0,0,6,0,0,4,0,0,0,0
"30x34",0,0,235,1,1,37,8,0,14,0
"30x45",0,0,4,0,0,1,0,0,1,0
"44x20",0,0,3,0,1,1,0,0,0,0
"43x11",1,0,4,0,0,4,0,0,0,0
"15x44",0,1,6,1,0,2,0,0,0,0
"36x19",0,0,2,0,0,0,0,0,0,0
"41x2",1,0,1,0,1,1,0,0,0,1
"26x18",0,0,3,0,0,2,1,0,0,0
"25x11",0,1,12,0,0,2,0,0,0,0
"8x47",0,0,57,1,0,5,0,0,2,0
"17x19",2,0,6,0,0,0,0,0,0,0
"31x48",0,0,2,0,0,0,1,0,0,0
"27x16",0,0,5,0,0,2,0,0,0,0
"26x33",0,1,281,1,1,27,19,0,13,0
"36x39",0,0,35,0,0,14,6,0,2,0
"11x36",0,0,11,0,0,2,0,0,0,0
"40x39",0,0,14,0,0,16,0,0,0,0
"7x46",0,0,1,0,0,0,0,0,0,0
"9x44",0,0,9,0,0,2,0,0,0,0
"45x42",0,0,5,1,0,2,0,0,0,0
"36x31",0,0,15,0,0,2,0,0,0,0
"27x35",0,0,107,1,0,19,9,0,4,0
"45x33",0,1,8,0,0,5,0,0,1,0
"22x42",0,0,184,0,0,28,7,0,1,0
"32x19",0,0,4,0,0,2,0,0,0,0
"31x40",0,1,177,0,0,14,8,0,4,0
"31x28",0,0,78,0,0,9,0,0,0,0
"29x24",0,0,68,1,0,11,14,0,7,0
"26x25",0,0,0,0,0,0,0,0,0,0
"46x4",1,0,18,0,0,1,0,0,0,0
"42x5",0,0,38,0,0,3,0,0,0,0
"32x44",0,0,0,0,0,0,0,0,0,0
"10x37",1,0,6,0,0,1,1,0,0,0
"41x28",0,0,10,0,0,0,0,0,0,0
"4x39",0,0,3,0,0,0,1,0,0,0
"20x17",0,0,3,0,0,0,0,0,0,0
"31x7",0,0,1,2,0,0,0,0,0,0
"30x21",0,0,16,0,0,0,1,0,0,0
"20x24",0,0,8,1,0,1,2,0,0,0
"32x8",1,1,3,6,1,1,1,0,0,0
"13x18",0,0,2,0,0,1,0,0,0,0
"38x43",1,0,6,1,0,0,0,0,0,0
"33x47",0,0,0,0,0,1,0,0,1,0
"24x28",0,0,527,0,0,36,4,0,9,0
"26x8",1,0,3,3,1,0,2,0,0,0
"37x2",1,0,1,0,1,0,2,0,0,1
"29x13",0,0,9,0,0,0,0,0,0,0
"15x48",0,1,17,2,0,6,5,0,1,0
"35x24",0,0,9,0,0,0,0,0,0,0
"41x37",0,0,38,0,0,4,0,0,2,0
"44x15",0,0,5,0,0,0,0,0,0,0
"34x25",0,1,16,0,0,11,0,0,0,0
"41x11",0,0,5,0,0,0,0,0,0,0
"27x44",0,0,2,1,0,2,4,0,0,0
"33x16",0,0,1,0,0,0,1,0,0,0
"9x15",0,0,5,0,0,2,1,0,0,0
"20x44",0,0,2,0,0,1,0,0,0,0
"31x36",0,0,169,0,0,13,4,0,0,0
"37x25",0,0,26,0,0,17,2,0,0,0
"41x33",0,0,6,0,0,3,0,0,1,0
"28x22",0,0,5,0,0,0,0,0,0,0
"39x10",0,0,3,0,0,0,0,0,0,0
"39x43",0,0,1,0,0,0,0,0,0,0
"43x29",0,0,6,0,1,0,0,0,0,0
"17x33",1,1,247,2,0,49,17,1,3,0
"11x31",0,0,12,0,0,4,1,0,1,0
"18x13",0,0,7,0,0,3,0,0,0,0
"32x21",0,1,6,0,0,0,4,0,7,0
"9x16",4,1,0,0,0,1,0,0,0,0
"33x14",0,0,3,0,0,0,0,0,0,0
"4x33",0,0,12,0,0,6,1,0,2,0
"8x46",0,0,31,0,0,5,3,0,1,0
"41x20",0,0,6,0,0,0,1,0,0,0
"17x18",0,0,4,1,0,1,0,0,0,0
"44x19",0,0,12,0,0,2,2,0,1,0
"46x7",1,0,3,2,0,0,0,0,0,0
"28x30",0,0,85,0,0,15,4,0,2,0
"23x19",0,0,7,0,0,0,0,0,0,0
"31x26",0,0,6,0,0,0,0,0,0,0
"27x17",0,2,0,0,0,0,1,0,0,0
"19x30",1,1,273,8,0,17,12,0,5,0
"39x29",0,0,7,0,0,1,0,0,1,0
"8x36",0,0,4,0,0,0,0,0,0,0
"12x19",1,0,1,0,1,3,0,0,1,0
"35x11",0,0,6,0,0,1,0,0,0,0
"6x30",0,0,5,0,0,0,0,0,1,0
"34x42",2,0,13,0,0,4,1,0,0,0
"42x13",0,1,3,1,0,1,0,0,0,0
"34x28",0,0,49,0,0,3,0,0,2,0
"25x33",1,0,170,15,0,31,5,1,33,0
"45x21",0,0,4,0,0,1,0,0,0,0
"4x30",0,0,7,0,0,0,0,0,0,0
"15x46",0,0,1,0,0,1,0,0,0,0
"4x32",0,0,8,0,0,2,1,0,0,0
"45x23",0,1,1,0,0,0,0,0,0,0
"29x12",0,0,1,0,0,1,0,0,1,0
"16x30",0,0,10,0,0,1,1,0,0,0
"42x33",0,1,13,0,0,3,1,0,1,0
"21x45",0,0,3,0,0,0,0,0,0,0
"42x36",0,0,34,0,0,3,0,0,0,0
"7x16",1,1,2,0,0,0,0,0,0,0
"4x35",1,0,29,1,0,7,1,0,1,0
"10x30",0,0,8,0,0,0,0,0,2,0
"29x26",0,1,8,0,0,1,0,0,0,0
"13x42",0,0,4,0,0,0,0,0,0,0
"49x12",0,0,6,0,0,1,0,0,0,0
"30x47",0,0,3,0,0,0,0,0,0,0
"10x28",1,0,18,1,0,0,0,0,0,0
"36x7",0,2,5,2,0,1,1,0,0,0
"29x47",0,0,9,0,0,3,0,0,0,0
"38x38",0,0,193,0,0,18,2,0,3,0
"32x36",0,0,146,0,0,17,0,0,3,0
"42x2",0,0,3,0,0,2,0,0,0,1
"16x27",0,0,7,1,0,1,0,0,0,0
"44x32",0,0,6,0,0,1,0,0,0,0
"13x46",0,0,5,0,0,1,2,0,0,0
"41x43",0,0,6,0,0,2,0,0,0,0
"18x14",0,0,6,1,0,1,0,0,0,0
"16x18",0,0,4,0,0,2,0,0,0,0
"8x38",0,0,7,0,0,0,0,0,0,0
"7x26",0,0,1,0,0,1,0,0,0,0
"39x17",0,0,1,0,0,1,0,0,0,0
"45x41",0,1,10,0,0,11,0,0,0,0
"21x32",1,0,184,1,0,33,4,0,1,0
"17x38",1,1,225,1,0,18,1,0,2,0
"48x39",0,0,5,0,0,1,0,0,0,0
"36x11",0,0,8,0,0,0,0,0,0,0
"45x40",0,0,9,0,0,1,0,0,0,0
"23x27",0,0,220,1,0,30,42,0,2,0
"36x8",0,0,5,2,0,0,0,0,0,0
"27x22",1,0,2,0,0,1,0,0,0,0
"8x41",0,0,21,0,0,2,1,0,1,0
"39x31",0,0,9,0,0,2,0,0,0,0
"39x25",0,0,7,0,0,1,0,0,0,0
"18x9",2,1,1,0,1,0,0,0,0,0
"16x26",0,0,2,0,0,0,1,0,0,0
"32x18",0,0,8,0,0,0,0,0,1,0
"29x32",0,2,119,0,0,22,4,0,3,0
"40x30",0,0,6,0,0,1,1,0,0,0
"26x36",1,0,208,0,0,21,5,0,1,0
"21x40",0,0,63,1,0,5,2,0,1,0
"35x36",0,0,325,1,0,49,2,0,1,0
"4x24",0,0,1,0,0,0,0,0,0,0
"27x8",2,0,3,0,0,1,1,0,0,0
"14x40",0,0,2,0,0,2,0,0,0,0
"45x4",1,4,18,1,0,0,0,0,0,0
"47x9",0,0,2,0,0,0,0,0,0,0
"37x3",4,0,6,0,0,0,0,0,0,0
"21x14",0,0,7,0,0,1,1,0,0,0
"17x15",3,1,27,1,0,1,0,0,1,0
"23x43",0,0,61,0,0,8,0,0,0,0
"44x18",0,0,2,0,1,6,0,0,0,0
"12x44",0,0,1,0,0,0,0,0,0,0
"38x21",0,0,9,0,0,1,0,0,0,0
"17x26",0,0,10,1,0,1,0,0,0,0
"28x16",0,1,6,0,0,0,0,0,0,0
"5x19",2,1,11,0,0,1,2,0,0,0
"36x3",4,0,0,0,1,1,2,0,0,0
"29x29",0,0,16,0,0,9,3,0,1,0
"30x43",0,0,22,0,0,0,0,0,1,0
"30x20",0,0,1,0,0,0,1,0,1,0
"34x24",1,0,13,0,0,2,0,0,2,0
"29x18",0,1,2,0,0,1,1,0,0,0
"32x20",0,0,4,1,0,0,0,0,0,0
"8x39",0,0,4,0,0,0,1,0,0,0
"19x38",0,0,84,0,0,11,3,0,1,0
"29x34",1,3,224,3,0,25,15,0,0,0
"12x18",0,0,1,0,0,2,0,0,0,0
"29x43",0,1,12,0,0,6,2,0,24,0
"3x33",1,0,9,1,0,3,0,1,0,0
"29x39",0,2,16,0,0,4,2,0,0,0
"40x34",1,0,17,0,0,3,6,0,0,0
"21x46",0,0,3,0,0,1,0,1,0,0
"29x36",0,0,238,0,0,20,2,0,1,0
"39x7",1,0,10,1,0,0,0,0,0,0
"36x20",0,0,4,0,0,4,0,0,0,0
"44x36",0,0,9,0,0,1,0,0,1,0
"37x30",0,0,10,0,0,3,1,0,1,0
"39x30",0,0,4,0,0,1,1,0,0,0
"15x32",0,0,8,0,0,2,1,0,1,0
"33x42",0,0,19,0,0,1,0,0,0,0
"15x31",0,0,21,0,0,2,1,0,0,0
"29x15",0,0,5,0,0,1,0,0,0,0
"42x11",0,1,4,1,0,3,1,1,0,0
"2x40",0,0,26,6,0,1,0,0,0,0
"27x39",0,0,37,0,0,11,5,0,1,0
"36x43",0,0,11,0,0,1,1,0,0,0
"7x27",0,0,3,0,0,0,0,0,0,0
"30x40",0,0,217,0,0,22,16,0,5,0
"12x31",0,0,29,0,0,1,0,0,0,0
"34x48",0,0,4,0,0,0,1,0,0,0
"28x44",0,0,5,0,0,1,0,0,0,0
"28x17",0,0,2,0,0,0,0,0,0,0
"44x3",2,0,20,0,0,2,0,0,0,0
"23x32",1,0,225,0,1,19,16,0,15,0
"13x39",0,0,7,0,0,0,0,0,0,0
"10x31",0,0,10,0,0,3,0,0,0,0
"41x36",0,0,19,0,0,2,1,0,0,0
"10x42",0,0,6,1,0,0,0,0,0,0
"18x48",0,0,4,0,0,1,0,0,0,0
"11x41",0,0,20,0,0,2,0,0,0,0
"2x29",4,1,14,0,0,0,1,1,1,0
"4x22",0,0,5,1,0,2,0,0,1,0
"8x49",0,0,9,0,0,1,0,0,1,0
"16x16",1,0,3,0,0,0,0,0,0,0
"20x45",0,0,3,0,0,1,0,0,0,0
"46x17",0,0,1,0,1,0,1,0,0,0
"8x27",0,0,3,0,0,2,0,0,0,0
"19x25",0,0,3,0,0,0,0,0,1,0
"35x6",0,0,3,0,0,3,0,0,0,0
"34x7",0,5,7,0,1,2,2,0,0,0
"18x46",0,0,2,0,0,1,1,0,0,0
"13x29",0,0,3,0,0,1,1,0,0,0
"29x42",1,1,192,1,0,17,0,0,3,0
"19x36",0,1,450,1,0,67,9,0,8,0
"23x45",0,0,6,0,0,0,3,0,0,0
"14x12",7,0,2,0,4,0,0,0,0,0
"36x9",1,0,6,1,0,0,1,0,0,0
"8x35",0,0,9,2,0,2,0,0,0,0
"16x46",0,1,1,0,0,1,1,0,0,0
"7x36",0,0,10,0,0,1,0,0,0,0
"8x18",0,0,0,0,0,1,0,0,0,0
"31x44",0,0,1,0,0,0,0,0,0,0
"19x37",0,1,198,0,0,27,21,0,1,0
"17x41",0,0,48,0,0,4,0,0,0,0
"42x40",0,0,6,1,0,0,0,0,0,0
"8x48",0,0,33,1,0,5,0,0,0,0
"38x41",0,0,28,0,0,4,0,0,1,0
"32x41",0,0,291,2,0,22,4,0,2,0
"2x37",0,0,16,0,0,2,1,0,0,0
"16x29",0,0,17,0,0,3,0,0,0,0
"30x6",1,0,8,0,0,0,0,0,0,0
"30x9",0,0,1,0,0,0,3,0,0,0
"36x35",0,0,174,0,0,27,4,0,3,0
"22x35",0,0,90,1,0,3,14,0,1,0
"23x22",0,0,8,0,0,0,0,0,0,0
"34x30",0,0,18,3,0,7,4,0,0,0
"38x26",0,1,2,0,0,3,1,0,0,0
"12x36",0,0,8,0,0,0,0,0,0,0
"17x35",0,0,233,2,0,20,6,0,3,0
"25x12",0,0,16,0,0,3,0,0,0,0
"17x43",0,1,8,2,0,0,0,0,2,0
"38x19",0,0,6,0,0,1,1,0,0,0
"16x17",0,0,0,0,0,0,0,0,0,0
"40x24",0,0,10,0,0,4,0,0,0,0
"38x40",0,0,18,1,0,12,1,0,1,0
"42x17",0,0,0,0,0,0,0,0,0,0
"42x10",0,0,4,0,0,1,0,0,0,0
"40x25",0,0,5,0,0,0,0,0,0,0
"32x46",0,0,3,1,0,1,0,0,0,0
"47x46",0,0,1,0,0,0,0,0,0,0
"15x41",0,1,16,0,0,2,2,0,1,0
"38x28",0,0,19,0,0,3,0,0,0,0
"2x18",2,0,4,0,0,1,0,0,0,0
"3x17",0,0,0,0,0,0,0,0,0,0
"28x40",0,0,224,3,0,15,10,0,7,0
"10x14",2,0,9,0,1,0,0,0,0,0
"42x24",0,0,12,0,0,7,1,0,0,0
"28x13",0,0,7,0,0,2,0,0,1,0
"47x2",1,1,14,1,0,1,0,0,1,2
"25x28",0,1,485,10,0,49,5,1,4,0
"38x34",1,0,112,0,0,10,9,0,1,0
"12x28",0,0,13,1,0,1,1,0,0,0
"8x28",0,0,12,0,1,0,0,0,0,0
"10x47",0,1,14,0,0,2,5,0,0,0
"14x48",0,0,11,0,0,3,1,0,0,0
"33x26",0,0,6,0,0,10,0,0,0,0
"25x23",0,0,10,0,0,0,0,6,0,0
"25x34",0,0,223,2,0,37,7,0,7,0
"20x29",0,0,227,0,1,22,8,0,5,0
"49x7",0,3,8,10,1,1,0,0,0,0
"31x29",0,2,43,1,0,6,2,0,0,0
"24x42",0,1,144,0,0,24,4,0,4,0
"30x35",0,0,133,0,0,10,1,0,0,0
"20x13",0,0,8,0,0,2,0,0,0,0
"47x41",0,0,8,0,0,1,7,0,0,0
"4x42",0,0,46,0,0,8,1,0,0,0
"11x39",0,0,12,0,0,4,1,0,1,0
"49x2",0,1,33,1,0,7,1,0,0,1
"10x17",1,0,4,2,0,0,1,0,0,0
"42x38",0,1,21,0,0,9,0,0,0,0
"42x26",0,0,0,1,0,0,0,0,0,0
"32x12",0,0,4,0,0,1,0,0,0,0
"30x27",0,0,41,0,0,5,0,0,0,0
"43x40",0,0,3,1,0,1,2,0,0,0
"42x16",0,0,1,0,0,1,0,0,0,0
"29x31",1,2,308,2,0,28,11,0,2,0
"36x22",0,0,3,0,1,0,0,0,0,0
"36x14",0,0,5,2,0,2,0,0,1,0
"34x21",0,1,6,0,0,2,0,0,0,0
"10x16",1,0,10,0,0,0,1,0,0,0
"26x16",0,0,6,1,0,0,1,0,0,0
"21x37",0,0,33,2,0,7,0,0,3,0
"3x39",0,0,2,0,0,0,0,0,0,0
"2x26",0,0,4,1,0,1,0,0,0,0
"23x46",0,0,1,0,1,0,0,0,0,0
"15x30",0,0,8,1,0,0,1,0,1,0
"34x29",0,0,21,0,0,14,0,0,0,0
"16x11",3,0,9,0,0,2,1,0,0,0
"13x28",0,0,5,0,0,1,0,0,0,0
"9x20",0,0,24,0,0,3,10,0,2,0
"22x33",0,0,69,2,0,12,10,0,2,0
"38x22",0,0,9,0,0,1,0,0,0,0
"17x10",4,1,6,0,0,1,0,0,0,0
"44x34",0,0,8,0,0,1,0,0,0,0
"35x38",0,0,14,0,0,0,2,0,0,0
"34x34",0,1,231,1,0,22,1,0,1,0
"30x26",0,0,2,0,0,0,2,0,2,0
"33x29",1,0,26,1,0,12,5,0,2,0
"20x18",1,0,1,0,0,0,0,0,0,0
"3x41",1,0,10,1,0,1,0,0,0,0
"8x45",0,0,57,0,0,2,2,0,3,0
"34x41",0,2,136,0,0,10,24,0,9,0
"45x34",0,1,4,0,0,0,1,0,0,0
"41x23",0,0,2,0,0,0,0,0,0,0
"30x44",0,0,2,0,0,0,0,0,0,0
"31x5",0,0,15,0,0,2,0,0,2,0
"5x28",0,0,22,0,0,3,0,0,0,0
"35x14",1,0,4,0,0,1,0,0,0,0
"36x21",0,0,14,0,0,1,0,0,0,0
"30x18",0,0,3,0,0,1,0,0,0,0
"16x12",1,0,3,0,1,0,0,0,0,0
"35x8",2,0,2,0,0,0,1,1,0,0
"37x37",0,0,203,0,0,26,4,0,1,0
"24x29",0,1,247,0,0,49,22,0,4,0
"47x49",4,1,47,3,1,21,7,0,4,0
"25x15",1,1,5,3,0,1,1,0,0,0
"13x30",0,0,3,0,0,0,0,0,1,0
"3x19",1,1,5,0,1,0,0,1,0,0
"18x49",1,0,6,0,0,1,0,0,2,0
"37x4",5,1,8,0,0,1,0,0,1,0
"32x26",0,0,3,0,0,0,1,1,0,0
"24x41",0,0,316,0,0,31,3,0,2,0
"44x6",0,0,3,0,0,0,0,0,0,0
"20x35",1,0,132,1,0,9,8,0,6,0
"6x17",1,1,4,2,0,2,0,0,1,0
"32x31",1,0,168,0,0,17,24,0,3,0
"8x19",0,0,4,0,0,1,0,0,1,0
"27x43",0,0,105,0,0,7,1,0,2,0
"32x33",0,0,168,2,0,37,21,0,31,0
"44x5",1,0,37,0,0,0,0,0,0,0
"48x3",0,0,39,0,0,1,0,0,0,0
"28x34",0,1,430,1,0,27,19,0,5,0
"18x16",0,0,8,0,0,0,0,0,0,0
"32x17",2,0,0,0,0,0,0,0,0,0
"15x15",1,0,3,1,0,2,0,0,0,0
"23x42",0,0,132,0,0,15,1,0,1,0
"23x13",0,0,5,0,0,1,2,0,0,0
"39x32",0,0,9,0,0,0,0,0,0,0
"43x38",0,0,8,0,0,1,0,0,0,0
"28x42",0,1,203,0,0,24,4,0,2,0
"45x18",0,0,0,0,0,1,0,0,0,0
"35x25",0,0,4,0,0,0,0,0,0,0
"9x42",0,0,32,0,0,4,0,0,0,0
"30x7",0,0,6,0,0,0,0,0,0,0
"34x5",1,3,8,0,1,2,0,0,0,0
"14x38",0,0,12,0,0,1,4,0,1,0
"3x21",0,0,1,0,0,3,0,0,0,0
"21x31",0,0,406,0,0,55,5,0,2,0
"8x44",0,0,4,0,0,0,0,0,0,0
"32x13",1,0,3,0,0,2,0,0,0,0
"49x5",0,1,35,0,1,3,3,0,1,0
"4x34",0,0,29,0,0,1,0,0,1,0
"43x15",0,0,2,1,0,2,0,0,0,0
"36x16",0,0,3,0,0,0,0,0,0,0
"6x24",0,0,2,0,0,0,0,0,0,0
"43x24",0,0,2,0,0,0,0,0,0,0
"12x42",0,0,4,0,0,2,1,0,0,0
"39x16",0,0,2,0,0,0,0,0,0,0
"10x38",0,0,12,1,0,3,1,0,0,0
"7x30",0,0,20,1,0,0,1,0,1,0
"12x16",0,0,1,0,1,0,0,0,0,0
"36x6",0,0,4,0,0,0,1,0,1,0
"3x18",4,0,1,0,1,0,0,0,0,0
"32x30",0,0,27,1,0,6,1,1,1,0
"11x44",0,0,9,0,0,0,0,0,0,0
"5x37",0,0,6,0,0,5,2,0,0,0
"43x18",0,0,4,1,0,3,0,0,0,0
"47x35",0,0,4,0,0,0,0,0,0,0
"24x23",0,0,13,1,0,5,0,0,0,0
"19x13",1,0,4,1,0,2,0,0,1,1
"44x2",0,1,5,0,2,0,1,0,0,0
"30x33",0,0,307,0,0,45,19,0,3,0
"23x10",0,1,13,0,0,1,0,0,1,0
"7x24",0,0,1,0,0,0,0,0,0,0
"22x24",0,0,5,1,0,1,1,0,2,0
"12x39",0,0,24,0,0,2,2,0,0,0
