"","TMEM132D","CPNE5","RNA18S5","NMNAT1","ALG5","RNA28S5","RPL13","CCBL1","RPS9","MEIS1.AS1"
"35x44",0,1,4,1,0,1,2,0,0,0
"40x8",0,0,5,0,0,0,0,0,0,1
"7x31",0,0,22,0,0,2,0,0,1,0
"23x23",0,0,11,0,0,4,0,0,0,0
"32x35",0,0,128,1,0,8,1,0,0,0
"16x14",2,0,8,1,2,0,0,0,0,0
"43x5",1,0,21,0,1,1,0,0,0,1
"35x40",0,0,90,0,0,16,3,0,17,0
"45x6",0,0,1,0,0,0,0,0,0,0
"34x38",0,0,27,0,0,1,0,0,0,0
"20x34",0,0,166,0,0,15,4,0,0,0
"17x9",0,0,2,0,0,2,0,0,0,0
"21x47",0,0,4,1,0,0,0,0,0,0
"17x36",0,1,346,1,0,41,1,0,0,0
"43x30",0,0,6,0,0,1,1,0,0,0
"49x6",0,0,6,1,0,0,1,0,0,0
"42x30",0,0,7,0,0,1,0,0,1,0
"27x9",0,0,11,0,1,1,0,0,0,0
"22x37",0,0,112,1,0,15,6,0,4,0
"28x19",0,0,7,0,0,3,1,0,0,0
"37x7",2,0,17,1,0,0,1,0,0,0
"19x9",0,2,5,1,0,1,0,0,0,0
"24x17",1,0,4,0,0,1,0,1,0,0
"11x45",0,0,2,0,0,0,0,0,0,0
"5x38",0,0,9,0,0,3,0,0,0,0
"41x35",0,0,11,0,0,3,2,0,0,0
"34x8",0,0,9,5,0,2,0,0,0,0
"3x20",1,0,18,0,0,2,0,0,0,0
"20x31",0,0,241,0,0,22,4,0,0,0
"21x7",1,0,6,0,1,2,0,0,0,0
"11x38",0,0,6,0,0,2,0,0,0,0
"25x40",0,0,97,1,0,28,1,0,2,0
"34x3",0,0,1,0,0,1,0,0,0,0
"15x17",0,1,1,0,0,0,0,0,0,0
"23x38",1,1,16,0,0,1,1,0,1,0
"41x24",0,0,15,0,0,6,1,0,0,0
"14x41",0,0,4,1,0,0,2,0,0,0
"43x39",0,0,3,0,0,0,1,0,1,0
"45x17",0,0,1,0,0,0,0,0,0,0
"27x26",0,0,6,0,0,0,1,0,0,0
"7x37",0,0,6,0,0,1,0,0,0,0
"35x34",0,0,389,1,0,36,1,0,4,0
"18x19",0,0,6,0,1,1,0,0,0,0
"15x28",0,0,30,0,0,6,0,0,0,0
"7x29",0,0,7,0,0,3,0,0,0,0
"42x34",0,0,13,0,0,5,0,0,0,0
"39x33",0,0,4,0,0,2,0,0,0,0
"18x28",0,0,19,0,0,3,1,0,0,0
"12x45",0,0,6,0,0,1,0,0,0,0
"7x43",0,0,21,0,0,2,0,0,2,0
"4x25",0,0,7,0,0,1,0,0,0,0
"37x9",0,0,4,0,0,2,1,0,0,0
"37x28",0,0,39,0,0,2,0,0,0,0
"44x44",0,0,1,0,0,0,0,0,0,0
"23x44",0,0,6,0,0,0,1,0,0,0
"18x30",0,1,307,2,0,27,19,0,6,0
"40x17",1,0,6,0,0,0,0,0,0,0
"34x35",0,0,165,1,0,23,6,0,1,0
"2x41",0,0,21,0,0,0,0,0,0,0
"30x36",0,0,246,0,0,27,3,0,1,0
"39x19",0,0,3,0,0,0,0,0,0,0
"25x8",1,0,11,8,1,4,0,0,0,0
"14x47",0,0,10,0,0,0,2,0,2,0
"47x39",0,0,0,0,0,0,0,0,0,0
"41x10",0,0,4,0,0,2,0,0,0,0
"38x8",0,0,7,3,0,1,2,0,0,0
"40x22",0,0,1,0,0,4,0,0,0,0
"33x32",1,0,37,0,0,7,8,0,1,0
"22x39",0,0,15,1,0,3,2,0,3,0
"37x20",0,0,6,0,0,0,0,0,0,0
"38x7",1,1,9,1,0,0,0,0,0,0
"31x46",0,1,4,0,0,0,0,0,0,0
"39x38",0,0,37,0,0,7,1,0,0,0
"4x37",0,0,6,0,0,0,1,0,0,0
"44x35",0,0,2,0,0,1,0,0,0,0
"29x10",0,0,9,0,0,3,0,0,0,0
"6x33",0,0,12,0,0,5,0,0,1,0
"17x17",0,0,7,1,0,1,0,0,0,0
"16x49",0,0,8,1,0,2,0,0,0,0
"25x18",1,0,12,0,0,2,0,0,0,0
"13x31",0,0,12,0,0,2,1,0,0,0
"38x18",0,0,5,0,0,3,0,0,0,0
